,Transect_Name,BarCount,SLType,WaveIndx,AveWavelength,BarDistance,BarDepth,NearshoreSlope,BW,CurveRatio,RecRate,RecRate_1,RecRate_2,RecRate_3,Class
29,IL_1_30,0,51,0.8187113373545954,-0.0,1.379,nan,nan,91.558,nan,0.4,0.3333333333333333,0.16666666666666666,0.5,2
30,IL_1_31,0,51,0.8187113373545954,-0.0,1.379,nan,nan,91.558,nan,0.4,0.3333333333333333,0.16666666666666666,0.5,2
31,IL_1_33,0,44,0.8187113373545954,-0.0,1.379,nan,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
32,IL_1_34,0,44,0.8187113373545954,93.0,1.379,2.583,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
33,IL_1_35,0,44,0.8187113373545954,93.0,1.379,3.187,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
34,IL_1_36,0,44,0.8187113373545954,-0.0,1.379,2.583,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
35,IL_1_37,0,44,0.8187113373545954,-0.0,1.379,nan,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
36,IL_1_38,0,44,0.8187113373545954,93.0,1.379,nan,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
37,IL_1_39,0,44,0.8187113373545954,-0.0,1.379,nan,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
38,IL_1_40,0,44,0.8187113373545954,-0.0,1.379,2.583,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
39,IL_1_41,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
40,IL_1_42,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
41,IL_1_43,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
42,IL_1_44,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
43,IL_1_45,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
44,IL_1_46,,44,0.8187113373545954,nan,nan,nan,nan,91.558,nan,0.4,0.08333333333333333,0.08333333333333333,0.8333333333333334,2
45,IL_1_47,0,44,0.8187113373545954,-0.0,1.379,-0.704,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
46,IL_1_48,0,44,0.8187113373545954,-0.0,1.379,-0.704,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
47,IL_1_49,0,44,0.8187113373545954,-0.0,1.379,nan,nan,91.558,nan,0.4,0.058823529411764705,0.058823529411764705,0.8823529411764706,2
48,IL_1_57,0,31,0.8187113373545954,93.0,1.379,2.583,nan,91.558,nan,0.4,0.3333333333333333,0.16666666666666666,0.5,2
49,IL_1_58,0,31,0.8187113373545954,93.0,1.379,2.583,nan,91.558,nan,0.4,0.3333333333333333,0.16666666666666666,0.5,2
50,IL_1_91,,31,0.8187113373545954,nan,nan,nan,nan,91.558,nan,-2.19001,0.5,0.25,0.25,0
51,IL_1_92,0,31,0.8187113373545954,175.0,237.794,2.583,nan,91.558,nan,-2.19001,0.5,0.25,0.25,0
52,IL_1_93,0,31,0.8187113373545954,-0.0,1.379,2.583,nan,91.558,nan,-2.19001,0.3333333333333333,0.16666666666666666,0.5,2
53,IL_1_94,,43,0.8187113373545954,nan,nan,nan,nan,91.558,nan,-2.19001,0.6,0.2,0.2,0
54,IL_1_95,,43,0.8187113373545954,nan,nan,nan,nan,91.558,nan,-2.19001,0.6,0.2,0.2,0
55,IL_1_96,0,43,0.8187113373545954,-0.0,1.379,-0.704,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
56,IL_1_97,0,43,0.8187113373545954,-0.0,1.379,2.583,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
57,IL_1_98,0,43,0.8187113373545954,-0.0,1.379,2.583,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
58,IL_1_99,0,43,0.8187113373545954,-0.0,1.379,3.187,nan,91.558,nan,-2.19001,0.8666666666666667,0.06666666666666667,0.06666666666666667,0
59,IL_2_718,,41,0.8187113373545954,nan,nan,nan,nan,nan,nan,-2.19001,0.4411764705882353,0.5294117647058824,0.029411764705882353,1
60,IL_2_719,,41,0.8187113373545954,nan,nan,nan,nan,nan,nan,-2.19001,0.4411764705882353,0.5294117647058824,0.029411764705882353,1
61,IL_3_940,,23,0.8187113373545954,nan,nan,nan,-0.009,0.001,-0.029,-2.19001,0.5,0.25,0.25,0
62,IL_3_991,,42,0.8187113373545954,nan,nan,nan,-0.007,0.001,-0.0,-2.19001,0.75,0.125,0.125,0
63,IL_3_992,,42,0.8187113373545954,nan,nan,nan,-0.007,0.001,-0.0,-2.19001,0.75,0.125,0.125,0
64,IL_3_993,,42,0.8187113373545954,nan,nan,nan,-0.007,0.001,-0.0,-2.19001,0.75,0.125,0.125,0
65,IL_3_994,,42,0.8187113373545954,nan,nan,nan,-0.007,0.001,-0.0,-2.19001,0.75,0.125,0.125,0
66,IL_3_996,,23,0.8187113373545954,nan,nan,nan,-0.007,0.001,-0.0,-2.19001,0.3333333333333333,0.5,0.16666666666666666,1
67,IN_1_10,,41,1.0549798876828331,nan,nan,nan,-0.013,0.001,0.001,-2.19001,0.625,0.25,0.125,0
68,IN_1_100,2,41,1.0549798876828331,93.0,137.664,3.187,-0.013,34.688,0.0,0.4,0.0625,0.3125,0.625,2
69,IN_1_101,2,41,1.0549798876828331,93.0,137.664,3.187,-0.013,10.927,0.0,0.4,0.0625,0.3125,0.625,2
70,IN_1_102,2,41,1.0549798876828331,93.0,137.664,3.187,-0.015,34.688,0.0,0.4,0.06666666666666667,0.06666666666666667,0.8666666666666667,2
71,IN_1_103,2,41,1.0549798876828331,93.0,137.664,3.187,-0.015,34.688,0.001,0.4,0.06666666666666667,0.06666666666666667,0.8666666666666667,2
72,IN_1_104,1,41,1.0549798876828331,-0.0,137.664,3.187,-0.015,34.688,0.0,0.4,0.23255813953488372,0.2558139534883721,0.5116279069767442,2
73,IN_1_105,1,41,1.0549798876828331,93.0,137.664,3.187,-0.015,34.688,0.0,0.4,0.23255813953488372,0.2558139534883721,0.5116279069767442,2
74,IN_1_106,1,41,0.998298988694638,93.0,186.563,3.187,-0.015,10.927,0.0,0.4,0.2,0.2,0.6,2
75,IN_1_107,1,41,0.998298988694638,93.0,186.563,3.68,-0.02,34.688,0.001,0.4,0.2,0.2,0.6,2
76,IN_1_108,1,41,1.0549798876828331,93.0,186.563,3.68,-0.015,34.688,0.0,0.4,0.3125,0.1875,0.5,2
77,IN_1_109,1,41,1.0549798876828331,93.0,186.563,3.68,-0.015,34.688,0.001,0.4,0.3125,0.1875,0.5,2
78,IN_1_110,1,41,1.0549798876828331,93.0,186.563,3.68,-0.015,34.688,0.0,0.4,0.3125,0.1875,0.5,2
79,IN_1_111,1,41,1.0549798876828331,93.0,186.563,3.68,-0.015,34.688,0.0,0.4,0.3125,0.1875,0.5,2
80,IN_1_112,1,41,1.0549798876828331,93.0,186.563,3.68,-0.02,34.688,0.001,0.4,0.02631578947368421,0.42105263157894735,0.5526315789473685,2
81,IN_1_113,0,41,0.998298988694638,133.0,137.664,3.68,-0.015,34.688,0.001,0.4,0.16666666666666666,0.3333333333333333,0.5,2
82,IN_1_114,0,41,0.998298988694638,133.0,137.664,2.583,-0.015,34.688,0.0,0.4,0.16666666666666666,0.3333333333333333,0.5,2
83,IN_1_115,0,41,0.998298988694638,93.0,1.379,2.583,-0.015,10.927,0.0,0.4,0.16666666666666666,0.5,0.3333333333333333,1
84,IN_1_116,0,41,1.0549798876828331,93.0,1.379,2.583,-0.015,10.927,0.0,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
85,IN_1_117,0,41,1.0549798876828331,93.0,1.379,3.187,-0.015,34.688,0.0,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
86,IN_1_118,0,41,1.0549798876828331,93.0,1.379,2.583,-0.02,34.688,-0.0,0.4,0.045454545454545456,0.5454545454545454,0.4090909090909091,1
87,IN_1_119,0,41,1.0549798876828331,93.0,1.379,2.583,-0.02,34.688,0.001,0.4,0.045454545454545456,0.5454545454545454,0.4090909090909091,1
88,IN_1_120,0,41,1.0549798876828331,93.0,1.379,2.583,-0.02,34.688,0.0,0.4,0.045454545454545456,0.5454545454545454,0.4090909090909091,1
89,IN_1_121,0,41,1.0549798876828331,93.0,1.379,2.583,-0.015,34.688,-0.0,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
90,IN_1_122,0,41,1.0549798876828331,133.0,137.664,2.583,-0.015,0.001,-0.0,0.4,0.1,0.7,0.2,1
91,IN_1_123,1,41,0.998298988694638,133.0,137.664,3.68,-0.02,34.688,0.0,0.4,0.125,0.125,0.75,2
92,IN_1_124,1,41,0.998298988694638,175.0,186.563,3.68,-0.02,34.688,-0.0,0.4,0.2,0.2,0.6,2
93,IN_1_125,1,41,0.998298988694638,133.0,137.664,3.68,-0.015,34.688,-0.0,0.4,0.125,0.125,0.75,2
94,IN_1_126,1,41,1.0549798876828331,133.0,137.664,3.68,-0.02,10.927,-0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
95,IN_1_127,1,41,1.0549798876828331,175.0,137.664,3.187,-0.02,34.688,-0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
96,IN_1_128,1,41,1.0549798876828331,175.0,186.563,3.68,-0.02,34.688,0.0,0.4,0.02631578947368421,0.42105263157894735,0.5526315789473685,2
97,IN_1_129,1,41,1.0549798876828331,175.0,186.563,3.68,-0.015,10.927,-0.0,0.4,0.3125,0.1875,0.5,2
98,IN_1_130,1,41,0.998298988694638,175.0,137.664,3.187,-0.02,10.927,-0.0,0.4,0.125,0.125,0.75,2
99,IN_1_131,1,41,0.998298988694638,133.0,137.664,3.187,-0.02,10.927,-0.0,0.4,0.125,0.125,0.75,2
100,IN_1_132,1,41,0.998298988694638,93.0,137.664,3.187,-0.02,10.927,-0.0,0.4,0.125,0.125,0.75,2
101,IN_1_133,1,41,0.998298988694638,133.0,137.664,2.583,-0.015,10.927,-0.0,0.4,0.125,0.125,0.75,2
102,IN_1_134,1,41,0.998298988694638,133.0,137.664,3.187,-0.02,0.001,-0.0,0.4,0.125,0.125,0.75,2
103,IN_1_135,1,41,1.0549798876828331,133.0,137.664,3.187,-0.02,10.927,-0.029,0.4,0.03333333333333333,0.1,0.8666666666666667,2
104,IN_1_136,1,41,1.0549798876828331,93.0,137.664,3.187,-0.02,10.927,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
105,IN_1_137,1,41,1.0549798876828331,133.0,137.664,2.583,-0.02,10.927,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
106,IN_1_138,1,41,1.0549798876828331,175.0,137.664,3.187,-0.02,10.927,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
107,IN_1_139,1,41,1.0549798876828331,133.0,186.563,3.68,-0.02,0.001,0.0,0.4,0.02631578947368421,0.42105263157894735,0.5526315789473685,2
108,IN_1_140,1,41,1.0549798876828331,133.0,137.664,3.187,-0.02,10.927,0.001,0.4,0.03333333333333333,0.1,0.8666666666666667,2
109,IN_1_141,1,41,1.0549798876828331,133.0,137.664,3.187,-0.02,0.001,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
110,IN_1_142,1,41,1.0549798876828331,133.0,137.664,3.187,-0.02,0.001,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
111,IN_1_143,1,41,1.0549798876828331,175.0,137.664,3.187,-0.02,10.927,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
112,IN_1_144,1,41,1.0549798876828331,175.0,137.664,3.187,-0.02,34.688,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
113,IN_1_145,1,41,1.0549798876828331,175.0,137.664,3.187,-0.02,10.927,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
114,IN_1_146,1,41,1.0549798876828331,175.0,137.664,3.68,-0.02,10.927,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
115,IN_1_147,1,41,1.0549798876828331,93.0,1.379,3.187,-0.02,34.688,-0.0,0.4,0.16666666666666666,0.16666666666666666,0.6666666666666666,2
116,IN_1_148,1,41,1.0549798876828331,93.0,1.379,3.187,-0.02,34.688,0.0,0.4,0.16666666666666666,0.16666666666666666,0.6666666666666666,2
117,IN_1_149,1,41,1.0549798876828331,93.0,1.379,2.583,-0.02,10.927,0.0,0.4,0.16666666666666666,0.16666666666666666,0.6666666666666666,2
118,IN_1_150,1,41,0.998298988694638,93.0,1.379,2.583,-0.02,10.927,0.0,0.4,0.16666666666666666,0.5,0.3333333333333333,1
119,IN_1_151,1,41,0.998298988694638,-0.0,1.379,2.583,-0.02,0.001,0.001,0.14,0.16666666666666666,0.5,0.3333333333333333,1
120,IN_1_152,1,41,0.998298988694638,-0.0,1.379,2.583,-0.02,0.001,0.001,0.14,0.16666666666666666,0.5,0.3333333333333333,1
121,IN_1_162,0,41,1.0549798876828331,93.0,1.379,3.187,-0.015,10.927,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
122,IN_1_163,0,41,1.0549798876828331,93.0,1.379,2.583,-0.015,10.927,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
123,IN_1_164,0,41,1.0549798876828331,93.0,1.379,2.583,-0.015,10.927,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
124,IN_1_165,0,41,1.0549798876828331,93.0,1.379,2.583,-0.015,10.927,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
125,IN_1_166,0,41,1.0549798876828331,93.0,1.379,3.68,-0.015,34.688,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
126,IN_1_167,0,41,1.0549798876828331,-0.0,1.379,3.187,-0.015,10.927,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
127,IN_1_168,0,41,1.0549798876828331,93.0,1.379,3.187,-0.015,10.927,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
128,IN_1_169,0,41,1.0549798876828331,93.0,1.379,3.187,-0.015,0.001,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
129,IN_1_170,0,41,1.0549798876828331,93.0,1.379,2.583,-0.02,0.001,0.001,0.4,0.045454545454545456,0.5454545454545454,0.4090909090909091,1
130,IN_1_171,0,41,1.0549798876828331,93.0,1.379,2.583,-0.013,0.001,0.001,0.4,0.14285714285714285,0.5714285714285714,0.2857142857142857,1
131,IN_1_172,0,41,1.0549798876828331,-0.0,1.379,3.187,-0.015,10.927,0.001,0.4,0.047619047619047616,0.3333333333333333,0.6190476190476191,2
132,IN_1_173,0,41,1.0549798876828331,-0.0,1.379,2.583,-0.02,10.927,0.0,0.4,0.045454545454545456,0.5454545454545454,0.4090909090909091,1
133,IN_1_174,0,41,1.0549798876828331,-0.0,1.379,2.583,-0.02,10.927,-0.0,0.4,0.045454545454545456,0.5454545454545454,0.4090909090909091,1
134,IN_1_175,1,41,1.0549798876828331,133.0,137.664,3.187,-0.02,0.001,0.0,0.4,0.03333333333333333,0.1,0.8666666666666667,2
135,IN_1_176,1,41,1.0549798876828331,175.0,237.794,3.68,-0.013,91.558,0.001,0.4,0.5555555555555556,0.1111111111111111,0.3333333333333333,0
136,IN_1_177,1,41,1.0549798876828331,175.0,237.794,3.68,-0.013,91.558,0.001,0.4,0.5555555555555556,0.1111111111111111,0.3333333333333333,0
137,IN_1_178,1,41,1.0549798876828331,133.0,137.664,3.68,-0.013,0.001,0.001,0.4,0.1875,0.125,0.6875,2
138,IN_1_179,1,41,1.0549798876828331,93.0,137.664,3.68,-0.013,10.927,0.001,0.4,0.1875,0.125,0.6875,2
139,IN_1_180,1,41,1.0549798876828331,93.0,1.379,3.187,-0.013,10.927,0.001,0.4,0.25,0.25,0.5,2
140,IN_1_181,1,41,1.0549798876828331,-0.0,137.664,3.68,-0.013,10.927,0.001,0.4,0.1875,0.125,0.6875,2
141,IN_1_182,1,41,1.0549798876828331,-0.0,137.664,3.68,-0.013,10.927,0.001,0.4,0.1875,0.125,0.6875,2
142,IN_1_183,1,41,1.0549798876828331,93.0,137.664,3.68,-0.012,10.927,0.001,0.4,0.125,0.125,0.75,2
143,IN_1_184,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
144,IN_1_185,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
145,IN_1_186,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
146,IN_1_187,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
147,IN_1_188,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
148,IN_1_189,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
149,IN_1_190,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
150,IN_1_191,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
151,IN_1_192,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
152,IN_1_193,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
153,IN_1_194,1,41,1.0549798876828331,133.0,186.563,3.68,-0.013,10.927,0.001,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
154,IN_1_21,0,41,1.0549798876828331,175.0,186.563,3.187,-0.015,10.927,0.001,0.14,0.25,0.5,0.25,1
155,IN_1_22,0,41,1.0549798876828331,175.0,137.664,3.187,-0.015,10.927,0.0,0.14,0.1,0.7,0.2,1
156,IN_1_23,0,41,1.0549798876828331,175.0,137.664,2.583,-0.015,0.001,-0.0,0.14,0.1,0.7,0.2,1
157,IN_1_24,0,41,1.0549798876828331,175.0,137.664,2.583,-0.015,34.688,0.0,0.14,0.1,0.7,0.2,1
158,IN_1_25,1,41,1.0549798876828331,93.0,186.563,3.68,-0.015,10.927,0.0,0.14,0.3125,0.1875,0.5,2
159,IN_1_26,1,41,1.0549798876828331,93.0,186.563,3.68,-0.015,10.927,0.0,0.14,0.3125,0.1875,0.5,2
160,IN_1_27,2,41,1.0549798876828331,93.0,237.794,3.68,-0.015,10.927,0.0,0.14,0.09090909090909091,0.36363636363636365,0.5454545454545454,2
161,IN_1_28,2,41,1.0549798876828331,93.0,237.794,3.68,-0.015,0.001,0.0,0.14,0.09090909090909091,0.36363636363636365,0.5454545454545454,2
162,IN_1_29,2,41,1.0549798876828331,93.0,237.794,3.68,-0.015,0.001,0.0,0.14,0.09090909090909091,0.36363636363636365,0.5454545454545454,2
163,IN_1_30,2,41,0.998298988694638,93.0,237.794,3.68,-0.015,10.927,0.0,0.14,0.3333333333333333,0.2222222222222222,0.4444444444444444,2
164,IN_1_31,2,41,0.998298988694638,93.0,237.794,3.68,-0.015,0.001,0.0,0.4,0.3333333333333333,0.2222222222222222,0.4444444444444444,2
165,IN_1_32,2,41,0.998298988694638,93.0,237.794,3.68,-0.015,10.927,-0.0,0.4,0.3333333333333333,0.2222222222222222,0.4444444444444444,2
166,IN_1_33,2,41,1.0549798876828331,93.0,237.794,3.68,-0.015,10.927,0.001,0.4,0.09090909090909091,0.36363636363636365,0.5454545454545454,2
167,IN_1_34,2,41,1.0549798876828331,93.0,237.794,3.68,-0.015,10.927,0.0,0.4,0.09090909090909091,0.36363636363636365,0.5454545454545454,2
168,IN_1_35,2,41,1.0549798876828331,93.0,237.794,3.68,-0.015,0.001,0.0,0.4,0.09090909090909091,0.36363636363636365,0.5454545454545454,2
169,IN_1_36,2,41,1.0549798876828331,93.0,237.794,3.68,-0.013,0.001,0.0,0.4,0.2,0.2,0.6,2
170,IN_1_37,1,41,1.0549798876828331,133.0,186.563,3.187,-0.013,0.001,-0.0,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
171,IN_1_38,1,41,1.0549798876828331,175.0,186.563,3.187,-0.013,0.001,-0.0,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
172,IN_1_39,1,41,1.0549798876828331,175.0,186.563,3.187,-0.013,10.927,0.0,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
173,IN_1_40,1,41,1.0549798876828331,175.0,186.563,3.68,-0.015,0.001,0.001,0.4,0.3125,0.1875,0.5,2
174,IN_1_41,1,41,1.0549798876828331,175.0,186.563,3.68,-0.013,0.001,-0.0,0.4,0.2571428571428571,0.05714285714285714,0.6857142857142857,2
175,IN_1_42,1,41,1.0549798876828331,133.0,137.664,3.187,-0.013,0.001,-0.0,0.4,0.1875,0.125,0.6875,2
176,IN_1_43,1,41,1.0549798876828331,175.0,137.664,2.583,-0.015,0.001,-0.0,0.4,0.23255813953488372,0.2558139534883721,0.5116279069767442,2
177,IN_1_44,1,41,1.0549798876828331,175.0,137.664,2.583,-0.015,0.001,0.0,0.4,0.23255813953488372,0.2558139534883721,0.5116279069767442,2
178,IN_1_45,1,41,1.0549798876828331,175.0,137.664,3.187,-0.013,0.001,-0.0,0.4,0.1875,0.125,0.6875,2
179,IN_1_46,1,41,1.0549798876828331,175.0,137.664,3.187,-0.013,0.001,0.0,0.4,0.1875,0.125,0.6875,2
180,IN_1_47,1,41,1.0549798876828331,175.0,137.664,3.187,-0.015,10.927,0.0,0.4,0.23255813953488372,0.2558139534883721,0.5116279069767442,2
181,IN_1_48,2,41,1.0549798876828331,133.0,237.794,3.68,-0.015,10.927,0.0,0.4,0.09090909090909091,0.36363636363636365,0.5454545454545454,2
182,IN_1_49,2,41,1.0549798876828331,133.0,237.794,3.68,-0.015,10.927,0.0,0.4,0.09090909090909091,0.36363636363636365,0.5454545454545454,2
183,IN_1_50,2,41,1.0549798876828331,133.0,237.794,3.68,-0.013,0.001,0.0,0.4,0.2,0.2,0.6,2
184,IN_1_51,3,41,1.0549798876828331,93.0,186.563,3.68,-0.013,10.927,-0.0,-2.19001,0.6,0.2,0.2,0
185,IN_1_52,3,41,1.0549798876828331,93.0,237.794,3.68,-0.013,0.001,0.0,-2.19001,0.5,0.25,0.25,0
